"Identifier","Satellite","Country","Category","Date","Emission Rate (tons/hour)","Uncertainty (tons/hour)","Source Latitude Rough","Source Longitude Rough"
"148","Sentinel - 5P","Australia","coal","2019-08-13","","","-23.0267","148.3309"
"154","Sentinel - 5P","Australia","coal","2019-08-09","","","-21.7863","148.3779"
"909","Sentinel - 5P","Australia","coal","2019-10-06","","","-21.9020","147.9917"
"990","Sentinel - 5P","Australia","coal","2019-11-13","","","-21.8946","147.9694"
"1069","Sentinel - 5P","Australia","coal","2019-09-03","","","-22.3348","148.2674"
"1072","Sentinel - 5P","Australia","coal","2019-09-11","","","-32.4602","151.0321"
"1584","Sentinel - 5P","Australia","coal","2020-10-09","","","-21.2027","148.0253"
"1586","Sentinel - 5P","Australia","coal","2020-10-09","","","-21.8041","147.9749"
"1683","Sentinel - 5P","Australia","coal","2020-10-30","","","-23.6747","148.7432"
"1755","Sentinel - 5P","Australia","coal","2020-12-01","","","-21.5732","147.8787"
"2006","Sentinel - 5P","Australia","coal","2019-11-28","","","-32.5161","151.1327"
"2093","Sentinel - 5P","Australia","coal","2019-06-28","","","-32.6440","151.0593"
"2502","Sentinel - 5P","Australia","coal","2021-05-26","","","-23.0273","148.3875"
"2514","Sentinel - 5P","Australia","coal","2021-05-31","","","-32.7596","151.0780"
"2619","Sentinel - 5P","Australia","coal","2021-07-07","","","-32.6931","151.0984"
"2641","Sentinel - 5P","Australia","coal","2021-07-12","","","-21.9036","148.0538"
"2647","Sentinel - 5P","Australia","coal","2021-07-13","","","-21.2868","148.1087"
"2668","Sentinel - 5P","Australia","coal","2021-07-19","","","-21.4774","148.3813"
"2675","Sentinel - 5P","Australia","coal","2021-07-20","","","-21.5412","148.4006"
"2701","Sentinel - 5P","Australia","coal","2021-07-28","","","-21.7216","148.3808"
"2751","Sentinel - 5P","Australia","coal","2021-08-03","","","-21.9819","148.3827"
"2776","Sentinel - 5P","Australia","coal","2021-08-13","","","-32.5636","151.0270"
"2829","Sentinel - 5P","Australia","coal","2021-08-26","","","-21.5451","148.3594"
"2830","Sentinel - 5P","Australia","coal","2021-08-26","","","-21.9481","147.9968"
"2865","Sentinel - 5P","Australia","coal","2021-09-05","","","-21.3904","148.2509"
"2913","Sentinel - 5P","Australia","coal","2021-09-16","","","-21.4352","148.3374"
"2955","Sentinel - 5P","Australia","coal","2021-09-25","","","-21.4965","148.4033"
"2959","Sentinel - 5P","Australia","coal","2021-09-26","","","-21.8335","147.9007"
"3757","Sentinel - 5P","Australia","coal","2022-03-25","","","-20.6456","147.8621"
"4098","Sentinel - 5P","Australia","coal","2022-09-11","","","-21.4863","148.3800"
"4184","Sentinel - 5P","Australia","coal","2022-09-24","","","-21.9430","147.9597"
"4188","Sentinel - 5P","Australia","coal","2022-09-23","","","-21.9354","148.0545"
"5196","Sentinel - 5P","Australia","coal","2023-05-05","","","-32.6081","151.0991"
"5384","Sentinel - 5P","Australia","coal","2023-06-22","","","-21.8446","140.9000"
"5488","Sentinel - 5P","Australia","coal","2023-07-22","","","-32.6683","150.9233"
"5639","Sentinel - 5P","Australia","coal","2023-09-11","","","-32.3800","150.6720"
"5854","Sentinel - 5P","Australia","coal","2023-10-13","","","-21.7710","148.4033"
"5941","Sentinel - 5P","Australia","coal","2023-10-24","","","-32.7988","151.5166"
"6616","Sentinel - 5P","Australia","coal","2024-02-22","","","-32.6301","151.0840"
"6816","Sentinel - 5P","Australia","og","2024-04-07","","","-15.7354","130.2402"
"7087","Sentinel - 5P","Australia","coal","2024-06-19","","","-21.9685","148.3484"
"7349","Sentinel - 5P","Australia","coal","2024-09-02","","","-21.8870","147.9666"
"7054","Sentinel - 5P","Australia","coal","2024-06-09","3.64","1.64","-23.0658","148.6588"
"5979","Sentinel - 5P","Australia","coal","2023-11-01","5.09","2.29","-21.8615","148.3209"
"7041","Sentinel - 5P","Australia","coal","2024-06-04","5.42","2.44","-24.6508","149.9689"
"1493","Sentinel - 5P","Australia","coal","2020-09-22","7.64","3.44","-21.4920","148.3944"
"7088","Sentinel - 5P","Australia","coal","2024-06-19","9.97","4.49","-22.8686","148.7604"
