,date,time_UTC,lat,lon,source_rate_t/h,uncertainty_t/h
0,20241115,09:06:56,24.93,67.1,24,7
1,20241115,09:10:37,37.65,61.74,60,20
2,20241115,09:10:47,38.49,65.69,16,5
3,20241115,09:11:15,38.68,54.22,84,25
4,20241115,09:11:32,39.35,53.76,75,23
5,20241115,09:11:36,41.42,68.24,69,20
6,20241115,10:45:40,15.39,45.69,16,7
7,20241115,10:51:20,34.95,41.2,44,20
8,20241115,12:32:14,31.82,5.57,25,9
9,20241115,12:35:44,45.26,10.5,6,4
10,20241115,19:18:13,32.06,-93.72,8,4
11,20241115,19:18:38,32.69,-96.8,33,13
12,20241115,19:18:59,31.46,-103.72,21,9
13,20241116,05:31:07,43.12,101.26,29,13
14,20241116,07:07:06,27.36,95.34,24,12
15,20241116,08:51:33,36.1,59.51,80,26
16,20241116,08:51:32,36.55,61.54,31,13
17,20241116,08:51:48,37.61,62.29,87,34
18,20241116,10:26:49,15.47,46.04,11,5
19,20241116,10:30:38,29.6,47.96,34,16
20,20241116,12:13:47,31.97,5.75,17,7
21,20241116,18:59:30,33.54,-87.02,7,6
22,20241116,18:59:47,34.69,-86.6,2,2
23,20241116,18:59:50,35.35,-80.69,10,7
24,20241117,05:10:09,37.85,113.64,61,22
25,20241117,05:10:48,39.4,110.5,4,3
26,20241117,05:10:35,39.36,112.59,21,14
27,20241117,08:33:10,37.6,61.34,74,58
28,20241117,08:33:45,40.27,63.21,14,8
29,20241117,20:22:58,36.83,-108.16,24,15
30,20241117,10:10:29,25.09,47.26,28,10
31,20241118,06:29:42,27.3,95.37,41,16
32,20241118,08:07:57,17.53,78.61,18,7
33,20241118,08:11:36,28.49,69.15,10,6
34,20241118,13:18:55,40.29,-3.75,10,4
35,20241118,09:51:59,25.22,46.84,13,6
36,20241118,09:55:19,38.62,54.22,79,25
37,20241118,09:55:34,39.48,53.59,53,27
38,20241119,07:54:00,33.72,73.04,24,11
39,20241119,07:54:54,38.61,80.09,5,3
40,20241119,07:56:43,45.32,84.95,37,12
41,20241119,07:58:40,51.7,75.44,27,12
42,20241119,09:36:42,39.23,53.97,219,73
43,20241119,09:37:09,41.6,59.89,29,9
44,20241120,04:15:24,46.02,125.64,32,13
45,20241120,05:53:33,35.74,112.8,107,63
46,20241120,05:54:01,37.87,113.51,80,34
47,20241120,07:37:50,45.66,85.28,51,18
48,20241120,09:13:25,24.85,66.71,145,46
49,20241120,09:17:55,39.38,53.84,166,56
50,20241120,19:25:08,31.47,-101.78,28,11
51,20241120,19:25:08,33.43,-95.76,42,17
52,20241120,19:25:12,31.86,-101.77,39,18
53,20241120,19:25:18,33.95,-96.0,67,30
54,20241121,07:13:37,27.34,95.31,36,17
55,20241121,07:18:57,45.66,85.17,29,10
56,20241121,05:34:09,33.77,113.4,10,6
57,20241121,05:34:43,35.63,112.36,43,25
58,20241121,05:34:59,35.73,109.15,22,8
59,20241121,05:34:55,36.47,112.11,46,15
60,20241121,05:34:52,36.26,112.91,26,11
61,20241121,05:35:47,39.54,113.12,45,20
62,20241121,05:36:13,39.58,106.69,36,14
63,20241121,08:52:47,19.5,72.8,24,14
64,20241121,08:59:04,38.65,54.26,81,25
65,20241121,08:59:20,39.61,53.85,93,47
66,20241121,19:06:47,31.93,-101.62,64,27
67,20241121,19:06:39,33.81,-95.95,40,20
68,20241122,05:16:33,36.65,109.6,24,10
69,20241122,05:16:30,37.17,112.16,45,23
70,20241122,05:16:36,37.75,113.75,155,76
71,20241122,05:17:08,39.79,113.0,30,15
72,20241122,06:54:48,27.35,95.44,32,18
73,20241122,08:39:41,37.58,61.89,64,28
74,20241122,08:39:45,37.52,60.71,100,38
75,20241122,08:40:06,41.08,69.32,49,15
76,20241122,08:40:37,38.69,54.35,80,26
77,20241122,10:20:07,35.31,40.43,14,7
78,20241122,18:27:14,-34.81,-59.34,63,20
79,20241122,20:28:10,32.45,-101.89,85,31
